NORAD_CAT_ID,OBJECT_NUMBER,OBJECT_NAME,INTLDES,OBJECT_ID,RCS,RCS_SIZE,COUNTRY,MSG_EPOCH,DECAY_EPOCH,SOURCE,MSG_TYPE,PRECEDENCE
33706,33706,FENGYUN 1C DEB,1999-025DGT,1999-025DGT,0,SMALL,PRC,6/13/2024 3:48,7/8/2024 0:00,60day_msg,Prediction,4
36553,36553,COSMOS 2251 DEB,1993-036BDP,1993-036BDP,0,SMALL,CIS,5/9/2024 3:52,7/8/2024 0:00,60day_msg,Prediction,4
37088,37088,COSMOS 2251 DEB,1993-036BFJ,1993-036BFJ,0,SMALL,CIS,7/4/2024 4:07,7/8/2024 0:00,60day_msg,Prediction,4
37855,37855,M-CUBED/EXP-1 PRIME,2011-061F,2011-061F,0,SMALL,US,5/29/2024 22:24,7/8/2024 0:00,60day_msg,Prediction,4
44931,44931,STARLINK-1128,2020-001T,2020-001T,0,LARGE,US,5/29/2024 22:24,7/8/2024 0:00,60day_msg,Prediction,4
45045,45045,STARLINK-1120,2020-006B,2020-006B,0,LARGE,US,5/22/2024 1:29,7/8/2024 0:00,60day_msg,Prediction,4
45045,45045,STARLINK-1120,2020-006B,2020-006B,0,LARGE,US,5/16/2024 4:48,7/8/2024 0:00,60day_msg,Prediction,4
45215,45215,STARLINK-1245,2020-012AP,2020-012AP,0,LARGE,US,6/6/2024 6:29,7/8/2024 0:00,60day_msg,Prediction,4
45909,45909,FREGAT DEB,2011-037EE,2011-037EE,0,SMALL,CIS,5/22/2024 1:29,7/8/2024 0:00,60day_msg,Prediction,4
48941,48941,SHERPA-LTE1,2021-059BQ,2021-059BQ,0,MEDIUM,US,6/6/2024 6:29,7/8/2024 0:00,60day_msg,Prediction,4
51482,51482,DELTA 4 DEB,2018-005D,2018-005D,0,SMALL,US,6/26/2024 5:47,7/8/2024 0:00,60day_msg,Prediction,4
51482,51482,DELTA 4 DEB,2018-005D,2018-005D,0,SMALL,US,6/19/2024 1:55,7/8/2024 0:00,60day_msg,Prediction,4
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/13/2024 18:42,7/8/2024 0:00,satcat,Historical,1
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/8/2024 4:02,7/8/2024 0:00,decay_msg,Historical,2
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/7/2024 17:47,7/7/2024 23:56,TIP_msg,Prediction,3
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/7/2024 21:39,7/7/2024 23:42,TIP_msg,Prediction,3
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/8/2024 2:16,7/7/2024 23:38,TIP_msg,Prediction,3
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/7/2024 9:52,7/7/2024 21:45,TIP_msg,Prediction,3
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/5/2024 1:22,7/7/2024 16:52,TIP_msg,Prediction,3
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/3/2024 15:55,7/7/2024 15:46,TIP_msg,Prediction,3
14807,14807,SL-8 DEB *,1979-089D,1979-089D,0,SMALL,CIS,7/17/2024 17:45,7/7/2024 0:00,satcat,Historical,1
14807,14807,SL-8 DEB *,1979-089D,1979-089D,0,SMALL,CIS,7/4/2024 4:07,7/7/2024 0:00,60day_msg,Prediction,4
23260,23260,CZ-4 DEB,1990-081CR,1990-081CR,0,SMALL,PRC,6/19/2024 1:55,7/7/2024 0:00,60day_msg,Prediction,4
34292,34292,COSMOS 2251 DEB,1993-036MN,1993-036MN,0,SMALL,CIS,6/6/2024 6:29,7/7/2024 0:00,60day_msg,Prediction,4
34292,34292,COSMOS 2251 DEB,1993-036MN,1993-036MN,0,SMALL,CIS,5/16/2024 4:48,7/7/2024 0:00,60day_msg,Prediction,4
37088,37088,COSMOS 2251 DEB,1993-036BFJ,1993-036BFJ,0,SMALL,CIS,7/17/2024 17:45,7/7/2024 0:00,satcat,Historical,1
37088,37088,COSMOS 2251 DEB,1993-036BFJ,1993-036BFJ,0,SMALL,CIS,7/16/2024 21:28,7/7/2024 0:00,decay_msg,Historical,2
37088,37088,COSMOS 2251 DEB,1993-036BFJ,1993-036BFJ,0,SMALL,CIS,6/13/2024 3:48,7/7/2024 0:00,60day_msg,Prediction,4
40518,40518,DMSP 5D-2 F13 DEB,1995-015DE,1995-015DE,0,SMALL,US,5/16/2024 4:48,7/7/2024 0:00,60day_msg,Prediction,4
45079,45079,STARLINK-1149,2020-006AM,2020-006AM,0,LARGE,US,6/26/2024 5:47,7/7/2024 0:00,60day_msg,Prediction,4
45215,45215,STARLINK-1245,2020-012AP,2020-012AP,0,LARGE,US,6/13/2024 3:48,7/7/2024 0:00,60day_msg,Prediction,4
45574,45574,STARLINK-1324,2020-025AV,2020-025AV,0,LARGE,US,5/16/2024 4:48,7/7/2024 0:00,60day_msg,Prediction,4
45681,45681,STARLINK-1396,2020-035AA,2020-035AA,0,LARGE,US,6/26/2024 5:47,7/7/2024 0:00,60day_msg,Prediction,4
45681,45681,STARLINK-1396,2020-035AA,2020-035AA,0,LARGE,US,6/19/2024 1:55,7/7/2024 0:00,60day_msg,Prediction,4
45681,45681,STARLINK-1396,2020-035AA,2020-035AA,0,LARGE,US,6/13/2024 3:48,7/7/2024 0:00,60day_msg,Prediction,4
47187,47187,H-2A DEB,2018-084CU,2018-084CU,0,SMALL,JPN,6/26/2024 5:47,7/7/2024 0:00,60day_msg,Prediction,4
47187,47187,H-2A DEB,2018-084CU,2018-084CU,0,SMALL,JPN,6/13/2024 3:48,7/7/2024 0:00,60day_msg,Prediction,4
47744,47744,STARLINK-2158,2021-017Y,2021-017Y,0,LARGE,US,6/26/2024 5:47,7/7/2024 0:00,60day_msg,Prediction,4
48103,48103,STARLINK-2438,2021-027M,2021-027M,0,LARGE,US,5/29/2024 22:24,7/7/2024 0:00,60day_msg,Prediction,4
48409,48409,STARLINK-2596,2021-038BJ,2021-038BJ,0,LARGE,US,6/26/2024 5:47,7/7/2024 0:00,60day_msg,Prediction,4
48941,48941,SHERPA-LTE1,2021-059BQ,2021-059BQ,0,MEDIUM,US,6/19/2024 1:55,7/7/2024 0:00,60day_msg,Prediction,4
48941,48941,SHERPA-LTE1,2021-059BQ,2021-059BQ,0,MEDIUM,US,6/13/2024 3:48,7/7/2024 0:00,60day_msg,Prediction,4
50284,50284,COSMOS 1408 DEB,1982-092YZ,1982-092YZ,0,SMALL,CIS,6/13/2024 3:48,7/7/2024 0:00,60day_msg,Prediction,4
